index,page,row,school_info,question_source,answer_source,question_url,answer_url,question_path,answer_path
1,1,2,"桃子腳國小 / 新北市 / 4年級 國語 / 113下 期末2 / 翰林",20001271b3247edf531f.pdf,20001271a3247edf531f.pdf,https://www.tcool.cc/d/q/20001271b3247edf531f.pdf,https://www.tcool.cc/d/a/20001271a3247edf531f.pdf,questions/Q_20001271b3247edf531f.pdf,answers/A_20001271a3247edf531f.pdf
2,1,7,"桃子腳國小 / 新北市 / 4年級 國語 / 113上 期末2 / 翰林",20000045b414463dd358.pdf,20000045a414463dd358.pdf,https://www.tcool.cc/d/q/20000045b414463dd358.pdf,https://www.tcool.cc/d/a/20000045a414463dd358.pdf,questions/Q_20000045b414463dd358.pdf,answers/A_20000045a414463dd358.pdf
3,2,3,"桃子腳國小 / 新北市 / 4年級 國語 / 113上 期中1 / 翰林",20000021b4113130bf1e.pdf,20000021a4113130bf1e.pdf,https://www.tcool.cc/d/q/20000021b4113130bf1e.pdf,https://www.tcool.cc/d/a/20000021a4113130bf1e.pdf,questions/Q_20000021b4113130bf1e.pdf,answers/A_20000021a4113130bf1e.pdf
4,2,4,"和順國小 / 臺南市 / 4年級 國語 / 112下 期末2 / 翰林",20000746b42408a60591.pdf,20000746a42408a60591.pdf,https://www.tcool.cc/d/q/20000746b42408a60591.pdf,https://www.tcool.cc/d/a/20000746a42408a60591.pdf,questions/Q_20000746b42408a60591.pdf,answers/A_20000746a42408a60591.pdf
5,2,5,"田中國小 / 彰化縣 / 4年級 國語 / 112下 期末2 / 翰林",1002955669a03d7b67e5.pdf,1002955669a03d7b6ec9.pdf,https://www.tcool.cc/d/q/1002955669a03d7b67e5.pdf,https://www.tcool.cc/d/a/1002955669a03d7b6ec9.pdf,questions/Q_1002955669a03d7b67e5.pdf,answers/A_1002955669a03d7b6ec9.pdf
6,2,6,"內安國小 / 彰化縣 / 4年級 國語 / 112下 期末2 / 翰林",1002958667a3e83b59e5.pdf,1002958667a3e83b5c39.pdf,https://www.tcool.cc/d/q/1002958667a3e83b59e5.pdf,https://www.tcool.cc/d/a/1002958667a3e83b5c39.pdf,questions/Q_1002958667a3e83b59e5.pdf,answers/A_1002958667a3e83b5c39.pdf
7,2,8,"和順國小 / 臺南市 / 4年級 國語 / 112下 期中1 / 翰林",20000722b42101464bd5.pdf,20000722a42101464bd5.pdf,https://www.tcool.cc/d/q/20000722b42101464bd5.pdf,https://www.tcool.cc/d/a/20000722a42101464bd5.pdf,questions/Q_20000722b42101464bd5.pdf,answers/A_20000722a42101464bd5.pdf
8,2,9,"田中國小 / 彰化縣 / 4年級 國語 / 112下 期中1 / 翰林",10029556641aff8a1cf1.pdf,10029556641aff8a1fe4.pdf,https://www.tcool.cc/d/q/10029556641aff8a1cf1.pdf,https://www.tcool.cc/d/a/10029556641aff8a1fe4.pdf,questions/Q_10029556641aff8a1cf1.pdf,answers/A_10029556641aff8a1fe4.pdf
9,2,10,"中山國小 / 彰化縣 / 4年級 國語 / 112下 期中1 / 翰林",100285866261fcb5b02f.pdf,100285866261fcb5b2c4.pdf,https://www.tcool.cc/d/q/100285866261fcb5b02f.pdf,https://www.tcool.cc/d/a/100285866261fcb5b2c4.pdf,questions/Q_100285866261fcb5b02f.pdf,answers/A_100285866261fcb5b2c4.pdf
10,3,1,"內安國小 / 彰化縣 / 4年級 國語 / 112下 期中1 / 翰林",10029586625f6bc09cc6.pdf,10029586625f6bc09f48.pdf,https://www.tcool.cc/d/q/10029586625f6bc09cc6.pdf,https://www.tcool.cc/d/a/10029586625f6bc09f48.pdf,questions/Q_10029586625f6bc09cc6.pdf,answers/A_10029586625f6bc09f48.pdf
11,3,2,"和順國小 / 臺南市 / 4年級 國語 / 112上 期末2 / 翰林",20000698b4142b811b5a.pdf,20000698a4142b811b5a.pdf,https://www.tcool.cc/d/q/20000698b4142b811b5a.pdf,https://www.tcool.cc/d/a/20000698a4142b811b5a.pdf,questions/Q_20000698b4142b811b5a.pdf,answers/A_20000698a4142b811b5a.pdf
12,3,3,"田中國小 / 彰化縣 / 4年級 國語 / 112上 期末2 / 翰林",100295565c04411a59bb.pdf,100295565c04411a5bd7.pdf,https://www.tcool.cc/d/q/100295565c04411a59bb.pdf,https://www.tcool.cc/d/a/100295565c04411a5bd7.pdf,questions/Q_100295565c04411a59bb.pdf,answers/A_100295565c04411a5bd7.pdf
13,3,4,"內安國小 / 彰化縣 / 4年級 國語 / 112上 期末2 / 翰林",100295865a620062f5b8.pdf,100295865a620062f7fd.pdf,https://www.tcool.cc/d/q/100295865a620062f5b8.pdf,https://www.tcool.cc/d/a/100295865a620062f7fd.pdf,questions/Q_100295865a620062f5b8.pdf,answers/A_100295865a620062f7fd.pdf
14,3,5,"和順國小 / 臺南市 / 4年級 國語 / 112上 期中1 / 翰林",20000674b411607c0034.pdf,20000674a411607c0034.pdf,https://www.tcool.cc/d/q/20000674b411607c0034.pdf,https://www.tcool.cc/d/a/20000674a411607c0034.pdf,questions/Q_20000674b411607c0034.pdf,answers/A_20000674a411607c0034.pdf
15,3,6,"中山國小 / 彰化縣 / 4年級 國語 / 112上 期中1 / 翰林",100285865a7853d3bfff.pdf,100285865a7853d3c2af.pdf,https://www.tcool.cc/d/q/100285865a7853d3bfff.pdf,https://www.tcool.cc/d/a/100285865a7853d3c2af.pdf,questions/Q_100285865a7853d3bfff.pdf,answers/A_100285865a7853d3c2af.pdf
