index,page,row,school_info,question_source,answer_source,question_url,answer_url,question_path,answer_path
1,1,4,"和順國小 / 臺南市 / 3年級 國語 / 113下 期末2 / 翰林",20000827b324632ada32.pdf,20000827a324632ada32.pdf,https://www.tcool.cc/d/q/20000827b324632ada32.pdf,https://www.tcool.cc/d/a/20000827a324632ada32.pdf,questions/Q_20000827b324632ada32.pdf,answers/A_20000827a324632ada32.pdf
2,1,6,"和順國小 / 臺南市 / 3年級 國語 / 113下 期中1 / 翰林",20000803b321792f01c6.pdf,20000803a321792f01c6.pdf,https://www.tcool.cc/d/q/20000803b321792f01c6.pdf,https://www.tcool.cc/d/a/20000803a321792f01c6.pdf,questions/Q_20000803b321792f01c6.pdf,answers/A_20000803a321792f01c6.pdf
3,1,7,"和順國小 / 臺南市 / 3年級 國語 / 113上 期末2 / 翰林",20000779b31451aeeed9.pdf,20000779a31451aeeed9.pdf,https://www.tcool.cc/d/q/20000779b31451aeeed9.pdf,https://www.tcool.cc/d/a/20000779a31451aeeed9.pdf,questions/Q_20000779b31451aeeed9.pdf,answers/A_20000779a31451aeeed9.pdf
4,1,9,"和順國小 / 臺南市 / 3年級 國語 / 113上 期中1 / 翰林",20000755b3115acdb9eb.pdf,20000755a3115acdb9eb.pdf,https://www.tcool.cc/d/q/20000755b3115acdb9eb.pdf,https://www.tcool.cc/d/a/20000755a3115acdb9eb.pdf,questions/Q_20000755b3115acdb9eb.pdf,answers/A_20000755a3115acdb9eb.pdf
5,2,2,"內安國小 / 彰化縣 / 3年級 國語 / 113上 期中1 / 翰林",1002958672c5b011a3fa.pdf,1002958672c5b011a6c9.pdf,https://www.tcool.cc/d/q/1002958672c5b011a3fa.pdf,https://www.tcool.cc/d/a/1002958672c5b011a6c9.pdf,questions/Q_1002958672c5b011a3fa.pdf,answers/A_1002958672c5b011a6c9.pdf
6,2,3,"桃子腳國小 / 新北市 / 3年級 國語 / 112下 期末2 / 翰林",20002666b3210173b4eb.pdf,20002666a3210173b4eb.pdf,https://www.tcool.cc/d/q/20002666b3210173b4eb.pdf,https://www.tcool.cc/d/a/20002666a3210173b4eb.pdf,questions/Q_20002666b3210173b4eb.pdf,answers/A_20002666a3210173b4eb.pdf
7,2,6,"四維國小 / 臺中市 / 3年級 國語 / 112下 期末2 / 翰林",10048816695e96330b3c.pdf,10048816695e96330e75.pdf,https://www.tcool.cc/d/q/10048816695e96330b3c.pdf,https://www.tcool.cc/d/a/10048816695e96330e75.pdf,questions/Q_10048816695e96330b3c.pdf,answers/A_10048816695e96330e75.pdf
8,2,7,"田中國小 / 彰化縣 / 3年級 國語 / 112下 期末2 / 翰林",10029556687630cd4ab2.pdf,10029556687630cd4ca5.pdf,https://www.tcool.cc/d/q/10029556687630cd4ab2.pdf,https://www.tcool.cc/d/a/10029556687630cd4ca5.pdf,questions/Q_10029556687630cd4ab2.pdf,answers/A_10029556687630cd4ca5.pdf
9,2,8,"桃子腳國小 / 新北市 / 3年級 國語 / 112下 期中1 / 翰林",20002665b3141108d67d.pdf,20002665a3141108d67d.pdf,https://www.tcool.cc/d/q/20002665b3141108d67d.pdf,https://www.tcool.cc/d/a/20002665a3141108d67d.pdf,questions/Q_20002665b3141108d67d.pdf,answers/A_20002665a3141108d67d.pdf
10,2,9,"四維國小 / 臺中市 / 3年級 國語 / 112下 期中1 / 翰林",10048816694d74b7b53d.pdf,10048816694d74b7b97e.pdf,https://www.tcool.cc/d/q/10048816694d74b7b53d.pdf,https://www.tcool.cc/d/a/10048816694d74b7b97e.pdf,questions/Q_10048816694d74b7b53d.pdf,answers/A_10048816694d74b7b97e.pdf
11,2,10,"中正國小 / 彰化縣 / 3年級 國語 / 112下 期中1 / 翰林",10029956645af0a3b56a.pdf,10029956645af0a3b8c0.pdf,https://www.tcool.cc/d/q/10029956645af0a3b56a.pdf,https://www.tcool.cc/d/a/10029956645af0a3b8c0.pdf,questions/Q_10029956645af0a3b56a.pdf,answers/A_10029956645af0a3b8c0.pdf
12,3,1,"田中國小 / 彰化縣 / 3年級 國語 / 112下 期中1 / 翰林",10029556641aff89f5af.pdf,10029556641aff89f908.pdf,https://www.tcool.cc/d/q/10029556641aff89f5af.pdf,https://www.tcool.cc/d/a/10029556641aff89f908.pdf,questions/Q_10029556641aff89f5af.pdf,answers/A_10029556641aff89f908.pdf
13,3,2,"桃子腳國小 / 新北市 / 3年級 國語 / 112上 期末2 / 翰林",20002664b31169f2e7f6.pdf,20002664a31169f2e7f6.pdf,https://www.tcool.cc/d/q/20002664b31169f2e7f6.pdf,https://www.tcool.cc/d/a/20002664a31169f2e7f6.pdf,questions/Q_20002664b31169f2e7f6.pdf,answers/A_20002664a31169f2e7f6.pdf
14,3,3,"中正國小 / 彰化縣 / 3年級 國語 / 112上 期末2 / 翰林",100299565c2e0d2cb764.pdf,100299565c1aaed07cbc.pdf,https://www.tcool.cc/d/q/100299565c2e0d2cb764.pdf,https://www.tcool.cc/d/a/100299565c1aaed07cbc.pdf,questions/Q_100299565c2e0d2cb764.pdf,answers/A_100299565c1aaed07cbc.pdf
15,3,4,"田中國小 / 彰化縣 / 3年級 國語 / 112上 期末2 / 翰林",100295565c0433c40bcb.pdf,100295565c0433c40e3f.pdf,https://www.tcool.cc/d/q/100295565c0433c40bcb.pdf,https://www.tcool.cc/d/a/100295565c0433c40e3f.pdf,questions/Q_100295565c0433c40bcb.pdf,answers/A_100295565c0433c40e3f.pdf
16,3,5,"四維國小 / 臺中市 / 3年級 國語 / 112上 期末2 / 翰林",100488165c08a047d8cd.pdf,100488165c08a047dc8c.pdf,https://www.tcool.cc/d/q/100488165c08a047d8cd.pdf,https://www.tcool.cc/d/a/100488165c08a047dc8c.pdf,questions/Q_100488165c08a047d8cd.pdf,answers/A_100488165c08a047dc8c.pdf
17,3,6,"桃子腳國小 / 新北市 / 3年級 國語 / 112上 期中1 / 翰林",20002663b22437d0a962.pdf,20002663a22437d0a962.pdf,https://www.tcool.cc/d/q/20002663b22437d0a962.pdf,https://www.tcool.cc/d/a/20002663a22437d0a962.pdf,questions/Q_20002663b22437d0a962.pdf,answers/A_20002663a22437d0a962.pdf
18,3,9,"四維國小 / 臺中市 / 3年級 國語 / 112上 期中1 / 翰林",100488165c1a04b8cb92.pdf,100488165c1a04b8d1b6.pdf,https://www.tcool.cc/d/q/100488165c1a04b8cb92.pdf,https://www.tcool.cc/d/a/100488165c1a04b8d1b6.pdf,questions/Q_100488165c1a04b8cb92.pdf,answers/A_100488165c1a04b8d1b6.pdf
19,3,10,"田中國小 / 彰化縣 / 3年級 國語 / 112上 期中1 / 翰林",10029556560418760a46.pdf,10029556560418760e65.pdf,https://www.tcool.cc/d/q/10029556560418760a46.pdf,https://www.tcool.cc/d/a/10029556560418760e65.pdf,questions/Q_10029556560418760a46.pdf,answers/A_10029556560418760e65.pdf
20,4,1,"中正國小 / 彰化縣 / 3年級 國語 / 112上 期中1 / 翰林",10029956551968bcaebb.pdf,10029956551968bcb09d.pdf,https://www.tcool.cc/d/q/10029956551968bcaebb.pdf,https://www.tcool.cc/d/a/10029956551968bcb09d.pdf,questions/Q_10029956551968bcaebb.pdf,answers/A_10029956551968bcb09d.pdf
21,4,2,"實踐國小 / 臺北市 / 3年級 國語 / 112上 期中1 / 翰林",1005226655175474a31b.pdf,1005226655175474b2c8.pdf,https://www.tcool.cc/d/q/1005226655175474a31b.pdf,https://www.tcool.cc/d/a/1005226655175474b2c8.pdf,questions/Q_1005226655175474a31b.pdf,answers/A_1005226655175474b2c8.pdf
22,4,4,"田中國小 / 彰化縣 / 3年級 國語 / 111下 期末2 / 翰林",100295564ad008ab665d.pdf,100295564ad008ab68f6.pdf,https://www.tcool.cc/d/q/100295564ad008ab665d.pdf,https://www.tcool.cc/d/a/100295564ad008ab68f6.pdf,questions/Q_100295564ad008ab665d.pdf,answers/A_100295564ad008ab68f6.pdf
23,4,6,"內安國小 / 彰化縣 / 3年級 國語 / 111下 期末2 / 翰林",1002958649bc4788cd0a.pdf,1002958649bc4788d7e0.pdf,https://www.tcool.cc/d/q/1002958649bc4788cd0a.pdf,https://www.tcool.cc/d/a/1002958649bc4788d7e0.pdf,questions/Q_1002958649bc4788cd0a.pdf,answers/A_1002958649bc4788d7e0.pdf
