index,page,row,school_info,question_source,answer_source,question_url,answer_url,question_path,answer_path
1,1,1,"安和國小 / 新北市 / 4年級 英語 / 113下 期末2 / 翰林",20002209b4140e1e8267.pdf,20002209a4140e1e8267.pdf,https://www.tcool.cc/d/q/20002209b4140e1e8267.pdf,https://www.tcool.cc/d/a/20002209a4140e1e8267.pdf,questions/Q_20002209b4140e1e8267.pdf,answers/A_20002209a4140e1e8267.pdf
2,1,5,"和順國小 / 臺南市 / 4年級 英語 / 113下 期末2 / 翰林",20000841b42470ffec66.pdf,20000841a42470ffec66.pdf,https://www.tcool.cc/d/q/20000841b42470ffec66.pdf,https://www.tcool.cc/d/a/20000841a42470ffec66.pdf,questions/Q_20000841b42470ffec66.pdf,answers/A_20000841a42470ffec66.pdf
3,1,6,"和順國小 / 臺南市 / 4年級 英語 / 113下 期中1 / 翰林",20000817b42169c7bfad.pdf,20000817a42169c7bfad.pdf,https://www.tcool.cc/d/q/20000817b42169c7bfad.pdf,https://www.tcool.cc/d/a/20000817a42169c7bfad.pdf,questions/Q_20000817b42169c7bfad.pdf,answers/A_20000817a42169c7bfad.pdf
4,1,7,"安和國小 / 新北市 / 4年級 英語 / 113上 期末2 / 翰林",20002208b4246a5f810c.pdf,20002208a4246a5f810c.pdf,https://www.tcool.cc/d/q/20002208b4246a5f810c.pdf,https://www.tcool.cc/d/a/20002208a4246a5f810c.pdf,questions/Q_20002208b4246a5f810c.pdf,answers/A_20002208a4246a5f810c.pdf
5,1,8,"和順國小 / 臺南市 / 4年級 英語 / 113上 期末2 / 翰林",20000793b4143b725b8b.pdf,20000793a4143b725b8b.pdf,https://www.tcool.cc/d/q/20000793b4143b725b8b.pdf,https://www.tcool.cc/d/a/20000793a4143b725b8b.pdf,questions/Q_20000793b4143b725b8b.pdf,answers/A_20000793a4143b725b8b.pdf
6,2,1,"和順國小 / 臺南市 / 4年級 英語 / 113上 期中1 / 翰林",20000769b4116fc06dab.pdf,20000769a4116fc06dab.pdf,https://www.tcool.cc/d/q/20000769b4116fc06dab.pdf,https://www.tcool.cc/d/a/20000769a4116fc06dab.pdf,questions/Q_20000769b4116fc06dab.pdf,answers/A_20000769a4116fc06dab.pdf
7,2,3,"和順國小 / 臺南市 / 4年級 英語 / 112下 期末2 / 翰林",20000745b42450aadb84.pdf,20000745a42450aadb84.pdf,https://www.tcool.cc/d/q/20000745b42450aadb84.pdf,https://www.tcool.cc/d/a/20000745a42450aadb84.pdf,questions/Q_20000745b42450aadb84.pdf,answers/A_20000745a42450aadb84.pdf
8,2,4,"四維國小 / 臺中市 / 4年級 英語 / 112下 期末2 / 翰林",1004881669614e21020e.pdf,1004881669614e2104ca.pdf,https://www.tcool.cc/d/q/1004881669614e21020e.pdf,https://www.tcool.cc/d/a/1004881669614e2104ca.pdf,questions/Q_1004881669614e21020e.pdf,answers/A_1004881669614e2104ca.pdf
9,2,8,"和順國小 / 臺南市 / 4年級 英語 / 112下 期中1 / 翰林",20000721b42176d959af.pdf,20000721a42176d959af.pdf,https://www.tcool.cc/d/q/20000721b42176d959af.pdf,https://www.tcool.cc/d/a/20000721a42176d959af.pdf,questions/Q_20000721b42176d959af.pdf,answers/A_20000721a42176d959af.pdf
10,2,9,"四維國小 / 臺中市 / 4年級 英語 / 112下 期中1 / 翰林",10048816694daccacc4b.pdf,10048816694daccacfc0.pdf,https://www.tcool.cc/d/q/10048816694daccacc4b.pdf,https://www.tcool.cc/d/a/10048816694daccacfc0.pdf,questions/Q_10048816694daccacc4b.pdf,answers/A_10048816694daccacfc0.pdf
11,2,10,"和順國小 / 臺南市 / 4年級 英語 / 112上 期末2 / 翰林",20000697b41405c816ca.pdf,20000697a41405c816ca.pdf,https://www.tcool.cc/d/q/20000697b41405c816ca.pdf,https://www.tcool.cc/d/a/20000697a41405c816ca.pdf,questions/Q_20000697b41405c816ca.pdf,answers/A_20000697a41405c816ca.pdf
12,3,1,"四維國小 / 臺中市 / 4年級 英語 / 112上 期末2 / 翰林",100488165c0938be4c18.pdf,100488165c0938be4f90.pdf,https://www.tcool.cc/d/q/100488165c0938be4c18.pdf,https://www.tcool.cc/d/a/100488165c0938be4f90.pdf,questions/Q_100488165c0938be4c18.pdf,answers/A_100488165c0938be4f90.pdf
13,3,2,"草港國小 / 彰化縣 / 4年級 英語 / 112上 期末2 / 翰林",100290165af285f17995.pdf,100290165af285f1802a.pdf,https://www.tcool.cc/d/q/100290165af285f17995.pdf,https://www.tcool.cc/d/a/100290165af285f1802a.pdf,questions/Q_100290165af285f17995.pdf,answers/A_100290165af285f1802a.pdf
14,3,3,"內安國小 / 彰化縣 / 4年級 英語 / 112上 期末2 / 翰林",100295865a633bd52839.pdf,100295865a633bd52a73.pdf,https://www.tcool.cc/d/q/100295865a633bd52839.pdf,https://www.tcool.cc/d/a/100295865a633bd52a73.pdf,questions/Q_100295865a633bd52839.pdf,answers/A_100295865a633bd52a73.pdf
15,3,4,"和順國小 / 臺南市 / 4年級 英語 / 112上 期中1 / 翰林",20000673b4115c3fcab0.pdf,20000673a4115c3fcab0.pdf,https://www.tcool.cc/d/q/20000673b4115c3fcab0.pdf,https://www.tcool.cc/d/a/20000673a4115c3fcab0.pdf,questions/Q_20000673b4115c3fcab0.pdf,answers/A_20000673a4115c3fcab0.pdf
16,3,6,"四維國小 / 臺中市 / 4年級 英語 / 112上 期中1 / 翰林",100488165c1cf7e39ed3.pdf,100488165c1cf7e3a278.pdf,https://www.tcool.cc/d/q/100488165c1cf7e39ed3.pdf,https://www.tcool.cc/d/a/100488165c1cf7e3a278.pdf,questions/Q_100488165c1cf7e39ed3.pdf,answers/A_100488165c1cf7e3a278.pdf
17,3,7,"草港國小 / 彰化縣 / 4年級 英語 / 112上 期中1 / 翰林",100290165af26e971421.pdf,100290165af26e971ade.pdf,https://www.tcool.cc/d/q/100290165af26e971421.pdf,https://www.tcool.cc/d/a/100290165af26e971ade.pdf,questions/Q_100290165af26e971421.pdf,answers/A_100290165af26e971ade.pdf
18,4,3,"內安國小 / 彰化縣 / 4年級 英語 / 111下 期末2 / 翰林",1002958649b9179a462c.pdf,1002958649a9322efa1d.pdf,https://www.tcool.cc/d/q/1002958649b9179a462c.pdf,https://www.tcool.cc/d/a/1002958649a9322efa1d.pdf,questions/Q_1002958649b9179a462c.pdf,answers/A_1002958649a9322efa1d.pdf
